"Report","url","pdfurl","Date","CountryCodeISO3"
"Country Focus","http://documents.worldbank.org/curated/en/2015/07/24599353/niger-performance-learning-review-country-partnership-strategy-period-fy13-fy16","Niger - Performance and learning review of
            the country partnership strategy for the period FY13-FY16","2015-07-01","NER"
"Country Focus","http://documents.worldbank.org/curated/en/2014/03/19341853/nigeria-country-partnership-strategy-period-fy2014-fy2017","Nigeria - Country partnership strategy for
            the period FY2014-FY2017","2014-04-30","NGA"
"Country Focus","http://documents.worldbank.org/curated/en/2015/11/25218537/nicaragua-country-partnership-strategy-period-fy2013-2017","Nicaragua - Country partnership strategy for
            the period FY2013-2017","2015-11-16","NIC"
"Country Focus","http://documents.worldbank.org/curated/en/2014/05/19459766/nepal-country-partnership-strategy-period-fy-2014-2018","Nepal - Country partnership strategy for the
            period FY 2014-2018","2014-05-30","NPL"
"Country Focus","http://documents.worldbank.org/curated/en/2015/06/24706161/panama-systematic-country-diagnostic-locking-success","Panama - Systematic country diagnostic :
            locking in success","2015-06-25","PAN"
"Country Focus","http://documents.worldbank.org/curated/en/2015/05/24424311/peru-performance-learning-review-country-partnership-strategy-period-fy12-fy16","Peru - Performance and learning review of
            the country partnership strategy for the period FY12-FY16","2015-05-18","PER"
"Country Focus","http://documents.worldbank.org/curated/en/2012/11/17086757/papua-new-guinea-country-partnership-strategy-period-fy2013-2016","Papua New Guinea - Country partnership
            strategy for the period FY2013-2016","2012-12-17","PNG"
"Country Focus","http://documents.worldbank.org/curated/en/2014/05/19549009/philippines-country-partnership-strategy-period-fy2015-2018","Philippines - Country partnership strategy
            for the period FY2015-2018","2014-06-30","PHL"
"Country Focus","http://documents.worldbank.org/curated/en/2014/04/19388413/pakistan-country-partnership-strategy-period-fy2015-19","Pakistan - Country partnership strategy for
            the period FY2015-19","2014-05-06","PAK"
"Country Focus","http://documents.worldbank.org/curated/en/2013/07/18011713/poland-country-partnership-strategy-cps-period-fy14-17","Poland - Country partnership strategy (CPS)
            for the period FY14-17","2013-07-16","POL"
"Country Focus","http://documents.worldbank.org/curated/en/2014/11/20424034/paraguay-country-partnership-strategy-period-fy15-fy18","Paraguay - Country partnership strategy for
            the period FY15-FY18","2014-12-19","PRY"
"Country Focus","http://documents.worldbank.org/curated/en/2014/04/19552473/romania-country-partnership-strategy-period-fy2014-2017","Romania - Country partnership strategy for
            the period FY2014-2017","2014-05-30","ROU"
"Country Focus","http://documents.worldbank.org/curated/en/2015/08/24872419/serbia-country-partnership-framework-period-fy2016-20","Serbia - Country partnership framework for
            the period FY2016-20","2015-08-05","SRB"
"Country Focus","http://documents.worldbank.org/curated/en/2011/11/15573196/russian-federation-country-partnership-strategy-period-2012-2016","Russian Federation - Country Partnership
            Strategy for the period 2012-2016","2011-12-22","RUS"
"Country Focus","http://documents.worldbank.org/curated/en/2014/06/19712276/rwanda-country-partnership-strategy-period-fy2014-18-vol-1-3-executive-summary","Executive summary","2014-06-25","RWA"
"Country Focus","http://documents.worldbank.org/curated/en/2013/05/17747045/solomon-islands-country-partnership-strategy-period-fy2013-2017","Solomon Islands - Country partnership
            strategy for the period FY2013-2017","2013-06-19","SLB"
"Country Focus","http://documents.worldbank.org/curated/en/2012/02/16224224/seychelles-country-partnership-strategy-fy2012-2015","Seychelles - Country partnership strategy
            for FY2012-2015","2012-04-12","SYC"
"Country Focus","http://documents.worldbank.org/curated/en/2004/05/3398569/slovak-republic-country-partnership-strategy","Slovak Republic - Country partnership strategy","2010-07-01","SVK"
"Country Focus","http://documents.worldbank.org/curated/en/2013/01/18170060/senegal-country-partnership-strategy-period-fy13-fy17-senegal-pays-strategie-de-partenariat-pour-la-periode-allant-de-laf13-fy17","Sénégal - Pays stratégie de partenariat pour
            la période allant de l'AF13-FY17","2013-08-30","SEN"
"Country Focus","http://documents.worldbank.org/curated/en/2015/04/24361627/suriname-country-partnership-strategy-period-fy15-19","Suriname - Country partnership strategy for
            the period FY15-19","2015-04-30","SUR"
"Country Focus","http://documents.worldbank.org/curated/en/2014/05/19784103/sao-tome-principe-country-partnership-strategy-period-fy2014-18","Sao Tome and Principe - Country partnership
            strategy for the period FY2014-18","2014-07-10","STP"
"Country Focus","http://documents.worldbank.org/curated/en/2015/06/24706162/el-salvador-systematic-country-diagnostic-building-strengths-new-generation","El Salvador - Systematic country diagnostic
            : building on strengths for a new generation","2015-06-25","SLV"
"Country Focus","http://documents.worldbank.org/curated/en/2014/10/20405098/swaziland-country-partnership-strategy-fy2015-2018","Swaziland - Country partnership strategy FY2015-2018","2014-11-25","SWZ"
"Country Focus","http://documents.worldbank.org/curated/en/2015/12/25472287/chad-country-partnership-framework-period-fy16-20","Chad - Country partnership framework for the
            period FY16-20","2015-12-22","TCD"
"Country Focus","http://documents.worldbank.org/curated/en/2014/05/19538359/tajikistan-country-partnership-strategy-period-fy2015-2018","Tajikistan - Country partnership strategy
            for the period FY2015-2018","2014-07-08","TJK"
"Country Focus","http://documents.worldbank.org/curated/en/2013/02/17493182/timor-leste-country-partnership-strategy-period-fy2013-2017","Timor-Leste - Country partnership strategy
            for the period FY2013-2017","2013-03-26","TLS"
"Country Focus,Country Focus","http://documents.worldbank.org/curated/en/2016/06/25737492/tunisia-systematic-country-diagnostic-tunisie-diagnostic-pays-systématique","Tunisie - Diagnostic-pays systématique","2016-01-04","TUN"
"Country Focus","http://documents.worldbank.org/curated/en/2013/01/17369150/turkey-country-partnership-strategy-period-2012-2015","Turkey - Country partnership strategy for
            the period 2012-2015","2013-02-21","TUR"
"Country Focus","http://documents.worldbank.org/curated/en/2012/01/15739386/ukraine-country-partnership-strategy-period-fy12-fy16","Ukraine - Country partnership strategy for
            the period FY12-FY16","2012-06-05","UKR"
"Country Focus","http://documents.worldbank.org/curated/en/2015/12/25674462/uganda-boosting-inclusive-growth-accelerating-poverty-reduction-systematic-country-diagnostic","Uganda - Boosting inclusive growth and
            accelerating poverty reduction : systematic country diagnostic","2015-12-15","UGA"
"Country Focus","http://documents.worldbank.org/curated/en/2016/02/25712348/uruguay-country-partnership-framework-period-fy16-20","Uruguay - Country partnership framework for
            the period FY16-20","2016-02-10","URY"
"Country Focus","http://documents.worldbank.org/curated/en/2011/11/15470023/uzbekistan-country-partnership-strategy-2012-2015","Uzbekistan - Country Partnership Strategy
            for 2012-2015","2012-11-26","UZB"
"Country Focus","http://documents.worldbank.org/curated/en/2015/05/24320938/vietnam-performance-learning-review-country-partnership-strategy-period-fy12-fy16","Vietnam - Performance and learning review of
            the country partnership strategy for the period FY12-FY16","2015-05-18","VNM"
"Country Focus","http://documents.worldbank.org/curated/en/2012/03/15908648/samoa-country-partnership-strategy-period-fy2012-fy2016","Samoa - Country Partnership Strategy for the
            period FY2012 - FY2016","2012-03-30","WSM"
"Country Focus","http://documents.worldbank.org/curated/en/2015/06/24549116/kosovo-country-partnership-strategy-period-fy12-15","Kosovo - Country partnership strategy for
            the period FY12-15","2015-06-16","KSV"
"Country Focus","http://documents.worldbank.org/curated/en/2007/12/9004466/south-africa-country-partnership-strategy","South Africa - Country Partnership Strategy","2008-02-11","ZAF"
"Country Focus","http://documents.worldbank.org/curated/en/2015/08/24876314/zambia-performance-learning-review-country-partnership-strategy-period-fy13-fy16","Zambia - Performance and learning review of
            the country partnership strategy for the period FY13-FY16","2015-08-26","ZMB"
